location_no,property_jibun_juso,property_doro_juso,zipcode,x_coordinate,y_coordinate,formated_price,jibun_juso
87,강남구 대치동 316,서울 강남구 삼성로 212,6284,127.065327020175,37.4974180026259,28.80,서울특별시강남구 대치동 316
88,강남구 대치동 500,서울 강남구 남부순환로 2912,6289,127.057241007924,37.4908400715786,53.50,서울특별시강남구 대치동 500
89,강남구 대치동 503,서울 강남구 선릉로 120,6289,127.059895803084,37.4911253659298,56.00,서울특별시강남구 대치동 503
90,강남구 대치동 506,서울 강남구 삼성로 151,6291,127.062565123948,37.4921265332679,43.50,서울특별시강남구 대치동 506
91,강남구 대치동 511,서울 강남구 삼성로 150,6288,127.067350014658,37.4933931510549,38.50,서울특별시강남구 대치동 511
92,강남구 대치동 63,서울 강남구 영동대로 230,6285,127.069139134413,37.5002337297672,29.70,서울특별시강남구 대치동 63
93,강남구 대치동 65,서울 강남구 영동대로 220,6285,127.070483284674,37.4994725764941,32.30,서울특별시강남구 대치동 65
94,강남구 대치동 66,서울 강남구 영동대로 210,6286,127.071219190993,37.4980831440783,25.80,서울특별시강남구 대치동 66
95,강남구 대치동 670,서울 강남구 남부순환로 2907,6281,127.055744544281,37.4927930896911,47.40,서울특별시강남구 대치동 670
96,강남구 대치동 888,서울 강남구 선릉로 222,6278,127.054562708884,37.4950567005784,40.00,서울특별시강남구 대치동 888
97,강남구 대치동 889-53,서울 강남구 테헤란로64길 8,6192,127.050785378167,37.5041705296826,2.30,서울특별시강남구 대치동 889-53
98,강남구 대치동 890-49,서울 강남구 테헤란로64길 9,6193,127.051555445765,37.5044959996482,2.40,서울특별시강남구 대치동 890-49
99,강남구 대치동 890-59,서울 강남구 선릉로86길 31,6193,127.052097616411,37.5041511272273,4.25,서울특별시강남구 대치동 890-59
100,강남구 대치동 891-23,서울 강남구 선릉로90길 56,6194,127.053522496748,37.5050813188178,2.90,서울특별시강남구 대치동 891-23
101,강남구 대치동 891-28,서울 강남구 삼성로85길 38,6194,127.054209061273,37.5045442768978,7.92,서울특별시강남구 대치동 891-28
102,강남구 대치동 891-38,서울 강남구 선릉로90길 68,6194,127.054718537838,37.5054425244396,2.80,서울특별시강남구 대치동 891-38
103,강남구 대치동 891-63,서울 강남구 선릉로90길 66,6194,127.05457464316,37.5053954684352,2.70,서울특별시강남구 대치동 891-63
104,강남구 대치동 902,서울 강남구 삼성로 417,6195,127.057041795103,37.5039585509104,32.00,서울특별시강남구 대치동 902
105,강남구 대치동 903-5,서울 강남구 역삼로 455-3,6195,127.056891261704,37.5029110244271,6.80,서울특별시강남구 대치동 903-5
106,강남구 대치동 913-24,서울 강남구 삼성로67길 8-8,6202,127.058621882541,37.5015367753508,4.10,서울특별시강남구 대치동 913-24
107,강남구 대치동 916-31,서울 강남구 삼성로71길 27-5,6201,127.05684648878,37.5014355590836,4.85,서울특별시강남구 대치동 916-31
108,강남구 대치동 925-5,서울 강남구 삼성로63길 48-41,6204,127.055575771309,37.4995798212045,3.80,서울특별시강남구 대치동 925-5
109,강남구 대치동 938,서울 강남구 도곡로 405,6207,127.054637722229,37.4974397382454,4.40,서울특별시강남구 대치동 938
110,강남구 대치동 943-24,서울 강남구 테헤란로88길 10,6179,127.059436764083,37.5068836547432,2.50,서울특별시강남구 대치동 943-24
111,강남구 대치동 944-21,서울 강남구 영동대로85길 34,6180,127.060894700494,37.5069791394869,3.55,서울특별시강남구 대치동 944-21
112,강남구 대치동 945-29,서울 강남구 테헤란로92길 13,6181,127.061452755414,37.5071401303649,1.50,서울특별시강남구 대치동 945-29
113,강남구 대치동 955-4,서울 강남구 역삼로83길 22-1,6184,127.059602324472,37.505153911874,9.00,서울특별시강남구 대치동 955-4
114,강남구 대치동 963,서울 강남구 삼성로72길 12,6186,127.060294662796,37.5024273884314,23.20,서울특별시강남구 대치동 963
115,강남구 대치동 974,서울 강남구 삼성로64길 5,6191,127.06097008333,37.5009313722385,18.50,서울특별시강남구 대치동 974
116,강남구 대치동 985,서울 강남구 도곡로93길 12,6189,127.06548703759,37.5010451843454,30.00,서울특별시강남구 대치동 985
117,강남구 도곡동 161,서울 강남구 남부순환로379길 14,6274,127.0464303232,37.4887124902017,19.00,서울특별시강남구 도곡동 161
118,강남구 도곡동 164-6,서울 강남구 남부순환로381길 15,6274,127.047612213256,37.4879088614331,38.50,서울특별시강남구 도곡동 164-6
119,강남구 도곡동 168,서울 강남구 언주로 201,6274,127.048732664169,37.4884719849921,27.00,서울특별시강남구 도곡동 168
120,강남구 도곡동 183-7,서울 강남구 남부순환로377길 18,6274,127.045607336875,37.4875242011848,26.40,서울특별시강남구 도곡동 183-7
121,강남구 도곡동 193-45,서울 강남구 남부순환로381길 57,6274,127.044310213881,37.4869926495587,14.70,서울특별시강남구 도곡동 193-45
122,강남구 도곡동 462-1,서울 강남구 남부순환로378길 9,6297,127.046799055267,37.4858161446195,55.00,서울특별시강남구 도곡동 462-1
123,강남구 도곡동 463-1,서울 강남구 언주로29길 34,6297,127.047581472593,37.4859710758229,18.90,서울특별시강남구 도곡동 463-1
124,강남구 도곡동 464,서울 강남구 언주로 123,6298,127.048897057659,37.4868899273565,22.00,서울특별시강남구 도곡동 464
125,강남구 도곡동 465,서울 강남구 언주로 117,6299,127.049473550969,37.4854426682653,33.50,서울특별시강남구 도곡동 465
126,강남구 도곡동 467,서울 강남구 언주로30길 56,6294,127.054439125962,37.4882232479436,79.00,서울특별시강남구 도곡동 467
127,강남구 도곡동 467-17,서울 강남구 언주로30길 57,6293,127.054490523453,37.4897107879722,24.00,서울특별시강남구 도곡동 467-17
128,강남구 도곡동 467-19,서울 강남구 언주로30길 10,6295,127.05132532941,37.4873620167241,3.95,서울특별시강남구 도곡동 467-19
129,강남구 도곡동 467-24,서울 강남구 언주로 118,6295,127.051882861207,37.4865168979792,8.50,서울특별시강남구 도곡동 467-24
130,강남구 도곡동 467-29,서울 강남구 언주로30길 26,6294,127.052829715042,37.4873363055886,31.40,서울특별시강남구 도곡동 467-29
131,강남구 도곡동 467-6,서울 강남구 언주로30길 13,6292,127.051077656021,37.4881205925146,25.00,서울특별시강남구 도곡동 467-6
132,강남구 도곡동 527,서울 강남구 선릉로 221,6276,127.050547158351,37.4935418220116,35.70,서울특별시강남구 도곡동 527
133,강남구 도곡동 538-3,서울 강남구 도곡로 320,6275,127.050531237683,37.4950874160645,33.00,서울특별시강남구 도곡동 538-3
134,강남구 도곡동 543-7,서울 강남구 도곡로28길 8,6272,127.043511837517,37.4922748332904,21.50,서울특별시강남구 도곡동 543-7
135,강남구 도곡동 869,서울 강남구 논현로 218,6272,127.042278226131,37.4907926735889,18.95,서울특별시강남구 도곡동 869
136,강남구 도곡동 895-8,서울 강남구 논현로 205,6270,127.040226925461,37.4878521403159,19.80,서울특별시강남구 도곡동 895-8
137,강남구 도곡동 91-5,서울 강남구 언주로 202,6277,127.050650573046,37.489778720694,27.00,서울특별시강남구 도곡동 91-5
138,강남구 도곡동 933,서울 강남구 남부순환로363길 30,6269,127.038115610038,37.4879799725392,23.90,서울특별시강남구 도곡동 933
139,강남구 도곡동 934-10,서울 강남구 남부순환로363길 49,6264,127.037115148391,37.4881982448773,19.60,서울특별시강남구 도곡동 934-10
140,강남구 도곡동 945-12,서울 강남구 도곡로2길 19,6258,127.033644595519,37.4886145586897,6.70,서울특별시강남구 도곡동 945-12
141,강남구 도곡동 947-19,서울 강남구 도곡로2길 29,6265,127.034113580378,37.4880300305003,3.50,서울특별시강남구 도곡동 947-19
142,강남구 도곡동 947-29,서울 강남구 강남대로54길 18-7,6265,127.034574909411,37.4880235893396,2.10,서울특별시강남구 도곡동 947-29
143,강남구 도곡동 948-25,서울 강남구 도곡로2길 32-3,6265,127.033732733136,37.4877292032015,18.50,서울특별시강남구 도곡동 948-25
144,강남구 도곡동 952,서울 강남구 강남대로 256,6266,127.03352762796,37.4864772207879,2.58,서울특별시강남구 도곡동 952
145,강남구 도곡동 953-1,서울 강남구 강남대로 240,6267,127.034403378938,37.4853093524453,10.50,서울특별시강남구 도곡동 953-1
146,강남구 도곡동 957-11,서울 강남구 남부순환로 2615,6267,127.035756944152,37.4851446066305,16.90,서울특별시강남구 도곡동 957-11
147,강남구 도곡동 959-17,서울 강남구 남부순환로359길 12,6268,127.036802352425,37.4858131941803,10.60,서울특별시강남구 도곡동 959-17
148,강남구 도곡동 961,서울 강남구 도곡로18길 34,6263,127.038017284005,37.4889635443741,17.00,서울특별시강남구 도곡동 961
149,강남구 도곡동 963,서울 강남구 논현로 213,6262,127.039997193037,37.4904503641949,25.50,서울특별시강남구 도곡동 963
150,강남구 도곡동 966,서울 강남구 언주로 203,6274,127.04878602541,37.4891538456354,16.50,서울특별시강남구 도곡동 966
151,강남구 도곡동 967,서울 강남구 논현로 209,6270,127.040803692142,37.4888731448198,16.00,서울특별시강남구 도곡동 967
152,강남구 도곡동 969,서울 강남구 도곡로14길 28,6264,127.03710217951,37.4891822395753,30.90,서울특별시강남구 도곡동 969
153,강남구 도곡동 972,서울 강남구 남부순환로365길 33,6269,127.039177902268,37.4877358123073,26.40,서울특별시강남구 도곡동 972
154,강남구 삼성동 102,서울 강남구 영동대로114길 56,6082,127.064083750255,37.516596032436,22.70,서울특별시강남구 삼성동 102
155,강남구 삼성동 103-22,서울 강남구 영동대로114길 56,6082,127.063972792252,37.5171348025177,21.30,서울특별시강남구 삼성동 103-22
156,강남구 삼성동 104-10,서울 강남구 영동대로114길 56,6082,127.06284983039,37.5162483675179,22.50,서울특별시강남구 삼성동 104-10
157,강남구 삼성동 106,서울 강남구 영동대로112길 15,6082,127.061692110137,37.5155646656735,17.00,서울특별시강남구 삼성동 106
158,강남구 삼성동 11,서울 강남구 선릉로126길 22,6092,127.04474442839,37.5152740694001,34.85,서울특별시강남구 삼성동 11
159,강남구 삼성동 112-18,서울 강남구 선릉로108길 7-1,6153,127.044694809553,37.5098364381347,4.90,서울특별시강남구 삼성동 112-18
160,강남구 삼성동 113-4,서울 강남구 봉은사로 426,6153,127.046710112844,37.5107571156707,4.90,서울특별시강남구 삼성동 113-4
161,강남구 삼성동 14-1,서울 강남구 학동로68길 30,6092,127.046227665295,37.5159924090308,36.50,서울특별시강남구 삼성동 14-1
162,강남구 삼성동 140-3,서울 강남구 선릉로 524,6161,127.048084389547,37.5067652034933,4.50,서울특별시강남구 삼성동 140-3
163,강남구 삼성동 141-10,서울 강남구 테헤란로63길 9,6162,127.050210929466,37.5058075414294,4.10,서울특별시강남구 삼성동 141-10
